NAME,Long,Latitude
Hoke,35.01752901,-79.23729072
Washington,35.83926464,-76.56930989
Guilford,36.07947173,-79.78890427
Ashe,36.4344247,-81.5005212
Transylvania,35.20217786,-82.79830013
Dare,35.66493669,-75.68523331
Northampton,36.41773124,-77.39682121
Sampson,34.99153616,-78.37139061
Edgecombe,35.91288067,-77.59705889
Yadkin,36.16053369,-80.66524393
Caldwell,35.95303793,-81.54643665
Durham,36.03602992,-78.87659269
Beaufort,35.48698382,-76.84531441
Avery,36.07660503,-81.92260137
Gates,36.44494357,-76.70052665
Chatham,35.70257213,-79.25527586
Franklin,36.08277335,-78.28569658
Jackson,35.28758663,-83.14084962
Perquimans,36.17722285,-76.40761999
Yancey,35.89894799,-82.30762798
Lincoln,35.48559502,-81.22353263
Cleveland,35.3341018,-81.55554714
Warren,36.39651028,-78.10671713
Pamlico,35.15102123,-76.66945984
Currituck,36.36729948,-75.9369492
Columbus,34.26564508,-78.65503087
Davidson,35.79335249,-80.21274878
Greene,35.48499572,-77.67576267
Cherokee,35.13385745,-84.06344423
Alleghany,36.49127044,-81.12785934
Wilson,35.70514571,-77.91866295
Pender,34.51509975,-77.88843558
Cumberland,35.04861194,-78.82756077
Wilkes,36.20627576,-81.16338566
Orange,36.06111824,-79.12064936
Pitt,35.59329897,-77.37449655
Burke,35.74961064,-81.70477847
Forsyth,36.13061955,-80.25630002
Lee,35.47518642,-79.17148361
New Hanover,34.18155534,-77.86559757
Alexander,35.92102631,-81.17702685
Mecklenburg,35.24676704,-80.83273114
Nash,35.96725028,-77.98644484
Halifax,36.25744855,-77.65173298
Brunswick,34.03887558,-78.22740716
Rowan,35.63947346,-80.52477175
Rutherford,35.40259563,-81.91983346
Davie,35.92911087,-80.54446365
Person,36.39009512,-78.97180514
Caswell,36.39327422,-79.33352348
Haywood,35.55605571,-82.98217297
Bladen,34.61458733,-78.56364931
Vance,36.36491693,-78.40792888
Iredell,35.80702592,-80.87343783
Gaston,35.29434895,-81.18024163
Jones,35.0217248,-77.35516797
Clay,35.05718113,-83.75017671
Madison,35.85803581,-82.70575826
Watauga,36.23110628,-81.69642507
Craven,35.11768582,-77.08200384
Polk,35.27927896,-82.16967793
Catawba,35.66204235,-81.21507056
Macon,35.15046721,-83.42217671
Union,34.98835749,-80.53074004
Buncombe,35.61117789,-82.53010706
Martin,35.84321398,-77.10923227
Stokes,36.401904,-80.23951572
Richmond,35.00604835,-79.74777802
Pasquotank,36.26501872,-76.24924136
Swain,35.48681505,-83.49273937
Duplin,34.93653484,-77.93302775
Wayne,35.36395997,-78.00399713
Chowan,36.12656154,-76.60213037
Scotland,34.84088481,-79.48042924
Onslow,34.70983636,-77.41576582
Wake,35.79024437,-78.65030817
Lenoir,35.23877316,-77.64124863
McDowell,35.68169247,-82.04931244
Alamance,36.04370988,-79.39942482
Hyde,35.40811874,-76.14496511
Stanly,35.31195506,-80.25098631
Moore,35.31065386,-79.48137444
Graham,35.35017195,-83.8335818
Hertford,36.35863603,-76.98071478
Harnett,35.36862916,-78.86941252
Johnston,35.51780693,-78.3657109
Montgomery,35.33246694,-79.90547908
Surry,36.41482056,-80.68807793
Camden,36.34112162,-76.1609504
Mitchell,36.01320389,-82.16358155
Carteret,34.86125981,-76.53574307
Granville,36.30406983,-78.65271943
Bertie,36.0656302,-76.96671214
Henderson,35.3362263,-82.47994638
Robeson,34.64024205,-79.10386493
Randolph,35.7103417,-79.80600691
Cabarrus,35.38679404,-80.55185089
Anson,34.97378944,-80.10271203
Tyrrell,35.869407,-76.17045236
Rockingham,36.39601279,-79.7749872
